album;genres_top;genres_secondary;tags
98.12.28 男達の別れ (98.12.28 otokotachi no wakare);dream pop, neo-psychedelia;dub, ambient pop, progressive pop, neo-psychedelia;bittersweet, ethereal, mellow, passionate, melodic, melancholic, atmospheric, warm, psychedelic, male vocals
a love supreme;spiritual jazz;modal jazz, post-bop;passionate, spiritual, improvisation, instrumental, complex, suite, acoustic, meditative, avant-garde, religious
abbey road;pop rock;psychedelic pop, progressive pop, art pop;melodic, warm, male vocals, bittersweet, summer, uplifting, love, romantic, happy, lush
animals;progressive rock, art rock;;political, pessimistic, philosophical, sarcastic, concept album, progressive, satirical, male vocals, complex, epic
disintegration;gothic rock, post-punk;dream pop;melancholic, romantic, ethereal, atmospheric, nocturnal, sad, bittersweet, introspective, love, rain
doolittle;alternative rock, indie rock;surf rock, noise pop;energetic, playful, anxious, humorous, manic, male vocals, noisy, raw, rebellious, sarcastic
enter the wu-tang (36 chambers);east coast hip hop, boom bap, hardcore hip hop;;urban, aggressive, raw, crime, boastful, rhythmic, energetic, violence, dark, sampling
good kid, m.a.a.d city;west coast hip hop, conscious hip hop;hardcore hip hop, pop rap;urban, crime, concept album, conscious, introspective, male vocals, passionate, existential, violence, bittersweet
highway 61 revisited;folk rock, singer/songwriter;blues rock, contemporary folk;poetic, cryptic, surreal, sarcastic, male vocals, passionate, conscious, rebellious, philosophical, introspective
illmatic;east coast hip hop, boom bap, hardcore hip hop;conscious hip hop, jazz rap;urban, crime, introspective, philosophical, sampling, conscious, drugs, rhythmic, male vocals, boastful
in a silent way;jazz fusion, modal jazz;avant-garde jazz, ambient;instrumental, atmospheric, mellow, improvisation, mysterious, nocturnal, soothing, calm, meditative, hypnotic
in rainbows;art rock, alternative rock;electronic, dream pop, art pop;lush, melancholic, introspective, male vocals, bittersweet, warm, mellow, atmospheric, ethereal, longing
in the aeroplane over the sea;indie folk, indie rock;psychedelic folk, singer/songwriter, lo-fi / slacker rock, brass band;passionate, death, poetic, cryptic, surreal, acoustic, bittersweet, melodic, male vocals, concept album
in the court of the crimson king;progressive rock, art rock;symphonic prog, jazz-rock, free improvisation, psychedelic rock;fantasy, epic, progressive, philosophical, complex, surreal, poetic, male vocals, melancholic, technical
kid a;art rock, experimental rock, electronic;ambient, electronic;cold, melancholic, futuristic, atmospheric, anxious, sombre, cryptic, abstract, male vocals, introspective
kind of blue;modal jazz, cool jazz;;instrumental, mellow, improvisation, nocturnal, soothing, calm, acoustic, meditative
led zeppelin [iv];hard rock;blues rock, folk rock;fantasy, folklore, male vocals, energetic, passionate, rebellious, rhythmic, melodic, heavy, longing
lift yr. skinny fists like antennas to heaven!;post-rock;field recordings, drone, chamber music, ambient;instrumental, epic, melancholic, atmospheric, apocalyptic, suspenseful, suite, sampling, complex, hypnotic
loveless;shoegaze, noise pop;dream pop;noisy, ethereal, romantic, atmospheric, love, hypnotic, dense, psychedelic, wall of sound, lush
low;art rock, ambient;ambient, electronic, art pop;atmospheric, lonely, futuristic, cryptic, sombre, abstract, male vocals, surreal, melancholic, anxious
madvillainy;abstract hip hop;jazz rap, experimental hip hop, instrumental hip hop;sampling, playful, cryptic, humorous, abstract, mysterious, surreal, eclectic, male vocals, drugs
my beautiful dark twisted fantasy;pop rap, hip hop;art pop;boastful, epic, passionate, sampling, hedonistic, vulgar, melodic, anthemic, introspective, male vocals
ok computer;alternative rock, art rock;;melancholic, anxious, futuristic, alienation, existential, male vocals, atmospheric, lonely, cold, introspective
paranoid;heavy metal, hard rock;traditional doom metal, blues rock;dark, war, heavy, political, male vocals, ominous, drugs, science fiction, pessimistic, alienation
