genre;parent1
power pop;pop rock
psychedelic folk;contemporary folk
psychedelic rock;rock
canterbury scene;progressive rock
dance-punk;post-punk
jazz rap;hip hop
soul;r&b
avant-prog;progressive rock
heavy metal;metal
country;northern american music
art pop;pop
post-rock;rock
west coast hip hop;hip hop
industrial rock;post-industrial
chamber jazz;jazz
blue-eyed soul;pop
synthpop;pop
experimental big band;avant-garde jazz
microsound;experimental
folk pop;pop
free improvisation;experimental
flamenco jazz;jazz
art rock;rock
ambient pop;pop
2 tone;ska
mbaqanga;marabi
free jazz;avant-garde jazz
poetry;spoken word
freakbeat;garage rock
industrial metal;metal
reggae;jamaican music
minneapolis sound;synth funk
chamber folk;contemporary folk
funk;r&b
sunshine pop;pop
heartland rock;rock
thrash metal;metal
plunderphonics;experimental
synth funk;funk
british folk rock;folk rock
rock opera;rock
chamber pop;indie pop
electric blues;blues
shoegaze;alternative rock
dark cabaret;rock
krautrock;experimental rock
merseybeat;beat music
progressive rock;rock
ska;
noise rock;rock
third stream;jazz
alterantive rock;rock
americana;northern american music
post-punk revival;post-punk
roots rock;rock
space rock;psychedelic rock
acoustic rock;rock
hardcore hip hop;hip hop
hip hop;
twee pop;indie pop
folk baroque;contemporary folk
east coast hip hop;hip hop
indie folk;contemporary folk
celtic folk music;european folk music
conscious hip hop;hip hop
psychedelic pop;pop
grunge;alternative rock
alternative dance;dance
field recordings;
progressive pop;pop
big music;pop rock
modal jazz;jazz
proto-punk;rock
neo-psychedelia;psychedelia
coldwave;post-punk
pop rap;hip hop
symphonic prog;progressive rock
tribal ambient;ambient
brass band;european music
drone;experimental
folk rock;rock
afrobeat;west african music
electronic;
rythm & blues;r&b
country rock;northern american music
pop rock;pop
new wave;rock
mutant disco;disco
blues rock;rock
pop punk;punk rock
boogie rock;blues rock
death metal;metal
indie rock;alternative rock
singer/songwriter;
punk rock;rock
boom bap;hip hop
spiritual jazz;jazz
beat music;pop rock
glam rock;rock
contemporary r&b;r&b
acid jazz;funk
mod revival;mod
hard bop;jazz
experimental rock;rock
jazz-rock;rock
spoken word;
mod;rock
rap rock;rock
beat poetry;poetry
electro-industrial;electronic
noise pop;indie rock
hard rock;rock
dream pop;alternative rock
lo-fi / slacker rock;indie rock
britpop;alternative rock
abstract hip hop;hip hop
soukous;central african music
neo-soul;soul
turntablism;hip hop
third wave ska;ska
dub;reggae
cool jazz;jazz
british rythm & blues;rock
acid rock;psychedelic rock
glitch pop;indietronica
avant-garde jazz;jazz
post-bop;jazz
art punk;punk
surf rock;surf music
isicathamiya;southern african music
garage rock;rock
zydeco;louisiana music
trip hop;downtempo
gangsta rap;hardcore hip hop
ska punk;punk rock
pop soul;soul
slowcore;indie rock
experimental hip hop;hip hop
symphonic rock;rock
baroque pop;pop
gothic rock;post-punk
jangle pop;alternative rock
ambient;
rockabilly;rock & toll
drum and bass;electronic dance music
political hip hop;hip hop
post-hardcore;hardcore [punk]
mid-school hip hop;hardcore hip hop
indie pop;pop
traditional doom metal;doom metal
psychedelic soul;soul
contemporary folk;folk
progressive metal;metal
film soundtrack;soundtrack
rock;
alternative rock;rock
post-punk;rock
jazz fusion;jazz
math rock;rock
smooth soul;soul
glam metal;hard rock
instrumental hip hop;hip hop
chamber music;western classical music
mbube;southern african music
baggy;alternative rock
piano rock;pop rock
genre;tbd
post-industrial;industrial music
genre;tbd
downtempo;electronic
hardcore [punk];punk
