2001_artist;2001_album;2002_artist;2002_album;2003_artist;2003_album;2006_artist;2006_album;2009_artist;2009_album;2010_artist;2010_album;2011_artist;2011_album;2012_artist;2012_album;2013_artist;2013_album;2014_artist;2014_album;2015_artist;2015_album;2016_artist;2016_album;2017_artist;2017_album;2018_artist;2018_album;2020_artist;2020_album;2021_artist;2021_album;2023_artist;2023_album
the beatles;sgt. pepper's lonely hearts club band;the beatles;revolver;bob dylan;blood on the tracks;the beatles;revolver;the beatles;revolver;the beatles;abbey road;radiohead;ok computer;radiohead;ok computer;radiohead;ok computer;radiohead;ok computer;radiohead;ok computer;radiohead;ok computer;radiohead;ok computer;radiohead;ok computer;radiohead;ok computer;radiohead;ok computer;kendrick lamar;to pimp a butterfly
nirvana;nevermind;the beatles;sgt. pepper's lonely hearts club band;leonard cohen;songs of leonard cohen;bob dylan;highway 61 revisited;radiohead;ok computer;the beatles;revolver;the beatles;revolver;pink floyd;the dark side of the moon;pink floyd;the dark side of the moon;pink floyd;the dark side of the moon;pink floyd;the dark side of the moon;pink floyd;the dark side of the moon;pink floyd;the dark side of the moon;pink floyd;the dark side of the moon;king crimson;in the court of the crimson king;pink floyd;wish you were here;radiohead;ok computer
radiohead;ok computer;bob dylan;blood on the tracks;gang of four;entertainment;the beatles;abbey road;the beatles;abbey road;radiohead;ok computer;the beatles;abbey road;the beatles;revolver;the velvet underground;the velvet underground & nico;the velvet underground;the velvet underground & nico;the velvet underground;the velvet underground & nico;the velvet underground & nico;the velvet underground & nico;the velvet underground & nico;the velvet underground & nico;radiohead;kid a;pink floyd;wish you were here;king crimson;in the court of the crimson king;pink floyd;wish you were here
pearl jam;ten;rolling stones;beggars banquet;eric dolphy;out to lunch;bob dylan;blood on the tracks;the velvet underground;the velvet underground & nico;the velvet underground;the velvet underground & nico;the velvet underground;the velvet underground & nico;the velvet underground;the velvet underground & nico;pink floyd;wish you were here;pink floyd;wish you were here;pink floyd;wish you were here;pink floyd;wish you were here;pink floyd;wish you were here;the velvet underground;the velvet underground & nico;radiohead;kid a;radiohead;kid a;king crimson;in the court of the crimson king
the beatles;the beatles;elvis costello;this year's model;gram parsons;grievous angel;john coltrane;a love supreme;pink floyd;the dark side of the moon;pink floyd;the dark side of the moon;pink floyd;the dark side of the moon;the beatles;abbey road;the beatles;abbey road;the beatles;abbey road;king crimson;in the court of the crimson king;radiohead;kid a;radiohead;kid a;pink floyd;wish you were here;my bloody valentine;loveless;my bloody valentine;loveless;radiohead;kid a
the beatles;revolver;the ramones;the ramones;the beatles;revolver;miles davis;kind of blue;bob dylan;highway 61 revisited;pink floyd;wish you were here;pink floyd;wish you were here;pink floyd;wish you were here;the beatles;revolver;the beatles;revolver;radiohead;kid a;king crimson;in the court of the crimson king;king crimson;in the court of the crimson king;king crimson;in the court of the crimson king;the velvet underground;the velvet underground & nico;kendrick lamar;to pimp a butterfly;madvillain;madvillainy
the clash;london calling;john coltrane;a love supreme;the beatles;sgt. pepper's lonely hearts club band;radiohead;ok computer;pink floyd;wish you were here;bob dylan;highway 61 revisited;bob dylan;highway 61 revisited;the beatles;sgt. pepper's lonely hearts club band;king crimson;in the court of the crimson king;king crimson;in the court of the crimson king;the beatles;abbey road;the beatles;abbey road;my bloody valentine;loveless;my bloody valentine;loveless;the beatles;abbey road;pink floyd;the dark side of the moon;my bloody valentine;loveless
the beatles;abbey road;the band;the band;cannonball adderley;somethin' else;the velvet underground;the velvet underground & nico;miles davis;kind of blue;miles davis;kind of blue;miles davis;kind of blue;bob dylan;highway 61 revisited;radiohead;kid a;radiohead;kid a;the beatles;revolver;my bloody valentine;loveless;the beatles;abbey road;the beach boys;pet sounds;david bowie;the rise and fall of ziggy stardust and the spiders from mars;the beatles;abbey road;radiohead;in rainbows
led zeppelin;led zeppelin iv;miles davis;kind of blue;the stone roses;the stone roses;the beatles;the beatles;david bowie;the rise and fall of ziggy stardust and the spiders from mars;david bowie;the rise and fall of ziggy stardust and the spiders from mars;the beatles;sgt. pepper's lonely hearts club band;radiohead;kid a;led zeppelin;led zeppelin [iv];led zeppelin;led zeppelin [iv];led zeppelin;led zeppelin [iv];the beatles;revolver;the beatles;revolver;the beatles;abbey road;mingus;the black saint and the sinner lady;the velvet underground;the velvet underground & nico;pink floyd;the dark side of the moon
the beatles;1;john coltrane;giant steps;john coltrane;a love supreme;pink floyd;the dark side of the moon;the beatles;the;the beatles;sgt. pepper's lonely hearts club band;david bowie;the rise and fall of ziggy stardust and the spiders from mars;led zeppelin;led zeppelin [iv];miles davis;kind of blue;miles davis;kind of blue;my bloody valentine;loveless;led zeppelin;led zeppelin [iv];led zeppelin;led zeppelin [iv];the beatles;revolver;pink floyd;the dark side of the moon;david bowie;the rise and fall of ziggy stardust and the spiders from mars;kendrick lamar;good kid, m.a.a.d city
