genre;up1;up2
power pop;pop rock;
psychedelic folk;contemporary folk;psychedelia
psychedelic rock;rock;psychedelia
canterbury scene;progressive rock;
dance-punk;post-punk;
jazz rap;hip hop;
soul;r&b;
avant-prog;progressive rock;experimental rock
heavy metal;metal;
country;northern american music;
art pop;pop;
post-rock;rock;
west coast hip hop;hip hop;
industrial rock;post-industrial;rock
chamber jazz;jazz;
blue-eyed soul;pop;r&b
synthpop;pop;electronic
experimental big band;avant-garde jazz;big band
microsound;experimental;electronic
folk pop;pop;contemporary folk
free improvisation;experimental;
flamenco jazz;jazz;flamenco nuevo
art rock;rock;
ambient pop;pop;
2 tone;ska;
mbaqanga;marabi;
free jazz;avant-garde jazz;
poetry;spoken word;
freakbeat;garage rock;beat music
industrial metal;metal;post-industrial
reggae;jamaican music;
minneapolis sound;synth funk;
chamber folk;contemporary folk;
funk;r&b;
sunshine pop;pop;
heartland rock;rock;
thrash metal;metal;
plunderphonics;experimental;
synth funk;funk;
british folk rock;folk rock;european music
rock opera;rock;descriptor
chamber pop;indie pop;
electric blues;blues;
;;
shoegaze;alternative rock;
dark cabaret;rock;
krautrock;experimental rock;
merseybeat;beat music;
progressive rock;rock;
ska;;
noise rock;rock;
third stream;jazz;
alterantive rock;rock;
americana;northern american music;
post-punk revival;post-punk;indie rock
roots rock;rock;northern american music
space rock;psychedelic rock;
acoustic rock;rock;descriptor
hardcore hip hop;hip hop;
hip hop;;
twee pop;indie pop;pop rock
folk baroque;contemporary folk;
east coast hip hop;hip hop;
indie folk;contemporary folk;
celtic folk music;european folk music;
conscious hip hop;hip hop;
psychedelic pop;pop;psychedelia
grunge;alternative rock;
alternative dance;dance;alternative rock
field recordings;;
progressive pop;pop;
big music;pop rock;
modal jazz;jazz;
proto-punk;rock;punk
neo-psychedelia;psychedelia;
coldwave;post-punk;
tbd;;
pop rap;hip hop;
symphonic prog;progressive rock;
tribal ambient;ambient;
brass band;european music;
drone;experimental;
folk rock;rock;
afrobeat;west african music;
electronic;;
rythm & blues;r&b;
country rock;northern american music;rock
pop rock;pop;rock
new wave;rock;
mutant disco;disco;
blues rock;rock;
pop punk;punk rock;
boogie rock;blues rock;
death metal;metal;
indie rock;alternative rock;
singer/songwriter;;
punk rock;rock;punk
boom bap;hip hop;
spiritual jazz;jazz;
beat music;pop rock;
glam rock;rock;
contemporary r&b;r&b;
acid jazz;funk;
mod revival;mod;punk
hard bop;jazz;
experimental rock;rock;
jazz-rock;rock;
spoken word;;
mod;rock;
rap rock;rock;
beat poetry;poetry;
electro-industrial;electronic;post-industrial
noise pop;indie rock;
hard rock;rock;
dream pop;alternative rock;
lo-fi / slacker rock;indie rock;
britpop;alternative rock;pop rock
abstract hip hop;hip hop;
soukous;central african music;
neo-soul;soul;
turntablism;hip hop;
third wave ska;ska;
dub;reggae;
cool jazz;jazz;
british rythm & blues;rock;rythm & blues
acid rock;psychedelic rock;
glitch pop;indietronica;pop rock
avant-garde jazz;jazz;
post-bop;jazz;
art punk;punk;rock
surf rock;surf music;
isicathamiya;southern african music;a capella
garage rock;rock;
zydeco;louisiana music;
trip hop;downtempo;
gangsta rap;hardcore hip hop;
ska punk;punk rock;third wave ska
pop soul;soul;pop
slowcore;indie rock;
experimental hip hop;hip hop;
symphonic rock;rock;
baroque pop;pop;
gothic rock;post-punk;
jangle pop;alternative rock;pop rock
ambient;;
rockabilly;rock & toll;
drum and bass;electronic dance music;
political hip hop;hip hop;
post-hardcore;hardcore [punk];
mid-school hip hop;harcore hip hop;
indie pop;pop;
traditional doom metal;doom metal;
psychedelic soul;soul;psychedelia
contemporary folk;folk;
progressive metal;metal;
film soundtrack;soundtrack;
rock;;
alternative rock;rock;
post-punk;post-punk;indie rock
jazz fusion;jazz;
math rock;rock;
smooth soul;soul;
glam metal;hard rock;
instrumental hip hop;hip hop;
chamber music;western classical music;descriptor
mbube;southern african music;a capella
baggy;alternative rock;
piano rock;pop rock;
