;genre;parent1;parent2;parent3
0;power pop;pop rock;pop;
1;psychedelic folk;contemporary folk;folk;
2;psychedelic rock;rock;;
3;canterbury scene;progressive rock;rock;
4;dance-punk;post-punk;rock;
5;jazz rap;hip hop;;
6;soul;r&b;;
7;avant-prog;progressive rock;rock;
8;heavy metal;metal;;
9;country;northern american music;;
10;art pop;pop;;
11;post-rock;rock;;
12;west coast hip hop;hip hop;;
13;industrial rock;post-industrial;;
14;chamber jazz;jazz;;
15;blue-eyed soul;pop;;
16;synthpop;pop;;
17;experimental big band;avant-garde jazz;jazz;
18;microsound;experimental;;
19;folk pop;pop;;
20;free improvisation;experimental;;
21;flamenco jazz;jazz;;
22;art rock;rock;;
23;ambient pop;pop;;
24;2 tone;ska;;
25;mbaqanga;marabi;;
26;free jazz;avant-garde jazz;jazz;
27;poetry;spoken word;;
28;freakbeat;garage rock;rock;
29;industrial metal;metal;;
30;reggae;jamaican music;;
31;minneapolis sound;synth funk;funk;r&b
32;chamber folk;contemporary folk;folk;
33;funk;r&b;;
34;sunshine pop;pop;;
35;heartland rock;rock;;
36;thrash metal;metal;;
37;plunderphonics;experimental;;
38;synth funk;funk;r&b;
39;british folk rock;folk rock;rock;
40;rock opera;rock;;
41;chamber pop;indie pop;pop;
42;electric blues;blues;;
43;shoegaze;alternative rock;rock;
44;dark cabaret;rock;;
45;krautrock;experimental rock;rock;
46;merseybeat;beat music;pop rock;pop
47;progressive rock;rock;;
48;ska;;;
49;noise rock;rock;;
50;third stream;jazz;;
51;alterantive rock;rock;;
52;americana;northern american music;;
53;post-punk revival;post-punk;rock;
54;roots rock;rock;;
55;space rock;psychedelic rock;rock;
56;acoustic rock;rock;;
57;hardcore hip hop;hip hop;;
58;hip hop;;;
59;twee pop;indie pop;pop;
60;folk baroque;contemporary folk;folk;
61;east coast hip hop;hip hop;;
62;indie folk;contemporary folk;folk;
63;celtic folk music;european folk music;;
64;conscious hip hop;hip hop;;
65;psychedelic pop;pop;;
66;grunge;alternative rock;rock;
67;alternative dance;dance;;
68;field recordings;;;
69;progressive pop;pop;;
70;big music;pop rock;pop;
71;modal jazz;jazz;;
72;proto-punk;rock;;
73;neo-psychedelia;psychedelia;;
74;coldwave;post-punk;rock;
75;pop rap;hip hop;;
76;symphonic prog;progressive rock;rock;
77;tribal ambient;ambient;;
78;brass band;european music;;
79;drone;experimental;;
80;folk rock;rock;;
81;afrobeat;west african music;;
82;electronic;;;
83;rythm & blues;r&b;;
84;country rock;northern american music;;
85;pop rock;pop;;
86;new wave;rock;;
87;mutant disco;disco;;
88;blues rock;rock;;
89;pop punk;punk rock;rock;
90;boogie rock;blues rock;rock;
91;death metal;metal;;
92;indie rock;alternative rock;rock;
93;singer/songwriter;;;
94;punk rock;rock;;
95;boom bap;hip hop;;
96;spiritual jazz;jazz;;
97;beat music;pop rock;pop;
98;glam rock;rock;;
99;contemporary r&b;r&b;;
100;acid jazz;funk;r&b;
101;mod revival;mod;rock;
102;hard bop;jazz;;
103;experimental rock;rock;;
104;jazz-rock;rock;;
105;spoken word;;;
106;mod;rock;;
107;rap rock;rock;;
108;beat poetry;poetry;spoken word;
109;electro-industrial;electronic;;
110;noise pop;indie rock;alternative rock;rock
111;hard rock;rock;;
112;dream pop;alternative rock;rock;
113;lo-fi / slacker rock;indie rock;alternative rock;rock
114;britpop;alternative rock;rock;
115;abstract hip hop;hip hop;;
116;soukous;central african music;;
117;neo-soul;soul;r&b;
118;turntablism;hip hop;;
119;third wave ska;ska;;
120;dub;reggae;jamaican music;
121;cool jazz;jazz;;
122;british rythm & blues;rock;;
123;acid rock;psychedelic rock;rock;
124;glitch pop;indietronica;;
125;avant-garde jazz;jazz;;
126;post-bop;jazz;;
127;art punk;punk;;
128;surf rock;surf music;;
129;isicathamiya;southern african music;;
130;garage rock;rock;;
131;zydeco;louisiana music;;
132;trip hop;downtempo;;
133;gangsta rap;hardcore hip hop;hip hop;
134;ska punk;punk rock;rock;
135;pop soul;soul;r&b;
136;slowcore;indie rock;alternative rock;rock
137;experimental hip hop;hip hop;;
138;symphonic rock;rock;;
139;baroque pop;pop;;
140;gothic rock;post-punk;rock;
141;jangle pop;alternative rock;rock;
142;ambient;;;
143;rockabilly;rock & toll;;
144;drum and bass;electronic dance music;;
145;political hip hop;hip hop;;
146;post-hardcore;hardcore [punk];;
147;mid-school hip hop;harcore hip hop;;
148;indie pop;pop;;
149;traditional doom metal;doom metal;;
150;psychedelic soul;soul;r&b;
151;contemporary folk;folk;;
152;progressive metal;metal;;
153;film soundtrack;soundtrack;;
154;rock;;;
155;alternative rock;rock;;
156;post-punk;rock;;
157;jazz fusion;jazz;;
158;math rock;rock;;
159;smooth soul;soul;r&b;
160;glam metal;hard rock;rock;
161;instrumental hip hop;hip hop;;
162;chamber music;western classical music;;
163;mbube;southern african music;;
164;baggy;alternative rock;rock;
165;piano rock;pop rock;pop;
